id,created_at,updated_at,category_name,position,building_id,name,info,custom_fields,category_id,categories,icon,selected_icon,type,project_id,info_unsafe
536408,2024-01-29T17:42:37.994+00:00,2024-04-18T06:50:40.827+00:00,Emergency Exits,"{'floor_id': 104, 'x': 717.677469508103, 'y': 878.2400195320705, 'lat': 24.451545577928243, 'lng': 54.642177109169786, 'radius': 5, 'georeferences': {'lat': 24.451545577928243, 'lng': 54.642177109169786}, 'cartesians': {'x': 717.677469508103, 'y': 878.2400195320705}}",29,Emergency Exit,,"[{'key': 'X_Data', 'value': '1014'}, {'key': 'priority', 'value': '6'}, {'key': 'name_ar', 'value': 'مخرج طوارئ'}, {'key': 'info_ar', 'value': ''}]",6244,"[{'id': 6244, 'name': 'Emergency Exits', 'icon_url': '/uploads/poicategory/default.png', 'selected_icon_url': '/uploads/poicategoryselected/default.png', 'name_es': 'Emergency Exits', 'name_en': 'Emergency Exits', 'code': 'emergency_exits_safety_security_&_accessibility', 'created_at': '2023-10-31T16:38:09.793+00:00', 'updated_at': '2023-10-31T18:51:13.203+00:00', 'parent_poi_category_id': 6107, 'custom_fields': [{'key': 'name_ar', 'value': 'مخارج الطوارئ'}], 'public': False}]",,,,29,
536566,2024-01-29T17:42:38.252+00:00,2024-04-18T06:50:53.564+00:00,Escalators,"{'floor_id': 106, 'x': 692.9040638998247, 'y': 867.4863780823825, 'lat': 24.451445132537334, 'lng': 54.64193440776281, 'radius': 5, 'georeferences': {'lat': 24.451445132537334, 'lng': 54.64193440776281}, 'cartesians': {'x': 692.9040638998247, 'y': 867.4863780823825}}",29,Escalator,,"[{'key': 'X_Data', 'value': '2014'}, {'key': 'priority', 'value': '6'}, {'key': 'name_ar', 'value': 'سلم كهربائي'}, {'key': 'info_ar', 'value': ''}]",6660,"[{'id': 6660, 'name': 'Escalators', 'icon_url': '/uploads/poicategory/default.png', 'selected_icon_url': '/uploads/poicategoryselected/default.png', 'name_es': 'Escalators', 'name_en': 'Escalators', 'code': 'escalators_safety_security_&_accessibility', 'created_at': '2023-11-10T07:37:43.921+00:00', 'updated_at': '2023-11-15T10:41:02.565+00:00', 'parent_poi_category_id': None, 'custom_fields': [{'key': 'name_ar', 'value': 'السلالم المتحركة'}], 'public': False}]",,,,29,
536567,2024-01-29T17:42:38.254+00:00,2024-04-18T06:52:21.207+00:00,Banks & ATMs,"{'floor_id': 106, 'x': 571.7981593084733, 'y': 1009.1617773370074, 'lat': 24.452707573501424, 'lng': 54.64071907659347, 'radius': 5, 'georeferences': {'lat': 24.452707573501424, 'lng': 54.64071907659347}, 'cartesians': {'x': 571.7981593084733, 'y': 1009.1617773370074}}",29,Emirates NBD ATM,,"[{'key': 'X_Data', 'value': '2015'}, {'key': 'priority', 'value': '6'}, {'key': 'name_ar', 'value': 'جهاز الصراف الآلي لبنك الإمارات دبي الوطني'}, {'key': 'info_ar', 'value': ''}]",6123,"[{'id': 6123, 'name': 'Banks & ATMs', 'icon_url': '/uploads/poicategory/default.png', 'selected_icon_url': '/uploads/poicategoryselected/default.png', 'name_es': 'Banks & ATMs', 'name_en': 'Banks & ATMs', 'code': 'banks_&_atms_shopping', 'created_at': '2023-10-16T17:13:52.565+00:00', 'updated_at': '2023-10-27T09:30:58.753+00:00', 'parent_poi_category_id': 6110, 'custom_fields': [{'key': 'name_ar', 'value': 'البنوك وأجهزة الصراف الآلي'}], 'public': False}]",,,,29,
536963,2024-01-29T17:42:38.902+00:00,2024-04-18T06:52:40.429+00:00,Car Rental,"{'floor_id': 107, 'x': 547.0727263845627, 'y': 921.0961047586311, 'lat': 24.45190922992793, 'lng': 54.64048834066747, 'radius': 5, 'georeferences': {'lat': 24.45190922992793, 'lng': 54.64048834066747}, 'cartesians': {'x': 547.0727263845627, 'y': 921.0961047586311}}",29,Europcar,,"[{'key': 'X_Data', 'value': '9549915'}, {'key': 'priority', 'value': '2'}, {'key': 'name_ar', 'value': 'يوروب لسيارات'}, {'key': 'info_ar', 'value': ''}]",6126,"[{'id': 6126, 'name': 'Car Rental', 'icon_url': '/uploads/poicategory/default.png', 'selected_icon_url': '/uploads/poicategoryselected/default.png', 'name_es': 'Car Rental', 'name_en': 'Car Rental', 'code': 'car_rental_travel_&_transit', 'created_at': '2023-10-16T17:13:53.098+00:00', 'updated_at': '2023-10-27T09:33:17.938+00:00', 'parent_poi_category_id': 6112, 'custom_fields': [{'key': 'name_ar', 'value': 'تأجير السيارات'}], 'public': False}]",,,,29,
536621,2024-01-29T17:42:38.342+00:00,2024-04-18T06:52:59.013+00:00,Elevators,"{'floor_id': 108, 'x': 538.0758665027134, 'y': 742.4519442955337, 'lat': 24.450295364043782, 'lng': 54.640426174612884, 'radius': 5, 'georeferences': {'lat': 24.450295364043782, 'lng': 54.640426174612884}, 'cartesians': {'x': 538.0758665027134, 'y': 742.4519442955337}}",29,Elevator,,"[{'key': 'X_Data', 'value': '2069'}, {'key': 'priority', 'value': '6'}, {'key': 'name_ar', 'value': 'مصعد'}, {'key': 'info_ar', 'value': ''}]",6658,"[{'id': 6658, 'name': 'Elevators', 'icon_url': '/uploads/poicategory/default.png', 'selected_icon_url': '/uploads/poicategoryselected/default.png', 'name_es': 'Elevators', 'name_en': 'Elevators', 'code': 'elevators_safety_security_&_accessibility', 'created_at': '2023-11-10T07:34:28.568+00:00', 'updated_at': '2023-11-15T10:41:53.037+00:00', 'parent_poi_category_id': 6107, 'custom_fields': [{'key': 'name_ar', 'value': 'المصاعد'}], 'public': False}]",,,,29,
537270,2024-01-29T17:42:39.406+00:00,2024-04-18T06:56:11.253+00:00,Shops,"{'floor_id': 109, 'x': 814.087086032334, 'y': 842.3735499118087, 'lat': 24.451234925973495, 'lng': 54.64313317243534, 'radius': 5, 'georeferences': {'lat': 24.451234925973495, 'lng': 54.64313317243534}, 'cartesians': {'x': 814.087086032334, 'y': 842.3735499118087}}",29,Fendi,,"[{'key': 'X_Data', 'value': '10235918'}, {'key': 'priority', 'value': '3'}, {'key': 'name_ar', 'value': 'فيندي'}, {'key': 'info_ar', 'value': ''}]",6122,"[{'id': 6122, 'name': 'Shops', 'icon_url': '/uploads/poicategory/default.png', 'selected_icon_url': '/uploads/poicategoryselected/default.png', 'name_es': 'Shops', 'name_en': 'Shops', 'code': 'shops_shopping', 'created_at': '2023-10-16T17:13:52.392+00:00', 'updated_at': '2023-10-27T09:34:39.717+00:00', 'parent_poi_category_id': 6110, 'custom_fields': [{'key': 'name_ar', 'value': 'المحلات التجارية'}], 'public': False}]",,,,29,
537263,2024-01-29T17:42:39.396+00:00,2024-04-18T06:57:36.175+00:00,Shops,"{'floor_id': 109, 'x': 746.7127859853919, 'y': 885.0968931405454, 'lat': 24.451611426677303, 'lng': 54.64246241814643, 'radius': 5, 'georeferences': {'lat': 24.451611426677303, 'lng': 54.64246241814643}, 'cartesians': {'x': 746.7127859853919, 'y': 885.0968931405454}}",29,Le gourmet,,"[{'key': 'X_Data', 'value': '10235023'}, {'key': 'priority', 'value': '3'}, {'key': 'name_ar', 'value': 'لي غورميت'}, {'key': 'info_ar', 'value': ''}]",6122,"[{'id': 6122, 'name': 'Shops', 'icon_url': '/uploads/poicategory/default.png', 'selected_icon_url': '/uploads/poicategoryselected/default.png', 'name_es': 'Shops', 'name_en': 'Shops', 'code': 'shops_shopping', 'created_at': '2023-10-16T17:13:52.392+00:00', 'updated_at': '2023-10-27T09:34:39.717+00:00', 'parent_poi_category_id': 6110, 'custom_fields': [{'key': 'name_ar', 'value': 'المحلات التجارية'}], 'public': False}]",,,,29,
537345,2024-01-29T17:42:41.585+00:00,2024-04-18T06:58:23.874+00:00,Shops,"{'floor_id': 109, 'x': 682.0567945033483, 'y': 847.7812722303959, 'lat': 24.45126577621995, 'lng': 54.641830367889135, 'radius': 5, 'georeferences': {'lat': 24.45126577621995, 'lng': 54.641830367889135}, 'cartesians': {'x': 682.0567945033483, 'y': 847.7812722303959}}",29,Sol de Janeiro,,"[{'key': 'X_Data', 'value': '11356063'}, {'key': 'priority', 'value': '6'}, {'key': 'name_ar', 'value': 'سول دي جانيرو'}, {'key': 'info_ar', 'value': ''}]",6122,"[{'id': 6122, 'name': 'Shops', 'icon_url': '/uploads/poicategory/default.png', 'selected_icon_url': '/uploads/poicategoryselected/default.png', 'name_es': 'Shops', 'name_en': 'Shops', 'code': 'shops_shopping', 'created_at': '2023-10-16T17:13:52.392+00:00', 'updated_at': '2023-10-27T09:34:39.717+00:00', 'parent_poi_category_id': 6110, 'custom_fields': [{'key': 'name_ar', 'value': 'المحلات التجارية'}], 'public': False}]",,,,29,
537354,2024-01-29T17:42:41.600+00:00,2024-04-18T06:58:35.955+00:00,Shops,"{'floor_id': 109, 'x': 732.5944755039181, 'y': 865.9308771238005, 'lat': 24.45143649168294, 'lng': 54.642326041162725, 'radius': 5, 'georeferences': {'lat': 24.45143649168294, 'lng': 54.642326041162725}, 'cartesians': {'x': 732.5944755039181, 'y': 865.9308771238005}}",29,Versace,,"[{'key': 'X_Data', 'value': '11356072'}, {'key': 'priority', 'value': '6'}, {'key': 'name_ar', 'value': 'فيرساتشي أتيليه'}, {'key': 'info_ar', 'value': ''}]",6122,"[{'id': 6122, 'name': 'Shops', 'icon_url': '/uploads/poicategory/default.png', 'selected_icon_url': '/uploads/poicategoryselected/default.png', 'name_es': 'Shops', 'name_en': 'Shops', 'code': 'shops_shopping', 'created_at': '2023-10-16T17:13:52.392+00:00', 'updated_at': '2023-10-27T09:34:39.717+00:00', 'parent_poi_category_id': 6110, 'custom_fields': [{'key': 'name_ar', 'value': 'المحلات التجارية'}], 'public': False}]",,,,29,
537388,2024-01-29T17:42:41.655+00:00,2024-04-18T06:58:40.280+00:00,Shops,"{'floor_id': 109, 'x': 734.0273114181282, 'y': 872.5871189939671, 'lat': 24.451496773325378, 'lng': 54.6423391814523, 'radius': 5, 'georeferences': {'lat': 24.451496773325378, 'lng': 54.6423391814523}, 'cartesians': {'x': 734.0273114181282, 'y': 872.5871189939671}}",29,Persol,,"[{'key': 'X_Data', 'value': '11356106'}, {'key': 'priority', 'value': '6'}, {'key': 'name_ar', 'value': 'بيرسول'}, {'key': 'info_ar', 'value': ''}]",6122,"[{'id': 6122, 'name': 'Shops', 'icon_url': '/uploads/poicategory/default.png', 'selected_icon_url': '/uploads/poicategoryselected/default.png', 'name_es': 'Shops', 'name_en': 'Shops', 'code': 'shops_shopping', 'created_at': '2023-10-16T17:13:52.392+00:00', 'updated_at': '2023-10-27T09:34:39.717+00:00', 'parent_poi_category_id': 6110, 'custom_fields': [{'key': 'name_ar', 'value': 'المحلات التجارية'}], 'public': False}]",,,,29,
536712,2024-01-29T17:42:38.498+00:00,2024-04-18T06:59:01.730+00:00,Shops,"{'floor_id': 109, 'x': 704.8362184219781, 'y': 853.174882157085, 'lat': 24.45131756465285, 'lng': 54.64205420265442, 'radius': 5, 'georeferences': {'lat': 24.45131756465285, 'lng': 54.64205420265442}, 'cartesians': {'x': 704.8362184219781, 'y': 853.174882157085}}",29,Tom Ford,,"[{'key': 'X_Data', 'value': '2160'}, {'key': 'priority', 'value': '6'}, {'key': 'name_ar', 'value': 'توم فورد'}, {'key': 'info_ar', 'value': ''}]",6122,"[{'id': 6122, 'name': 'Shops', 'icon_url': '/uploads/poicategory/default.png', 'selected_icon_url': '/uploads/poicategoryselected/default.png', 'name_es': 'Shops', 'name_en': 'Shops', 'code': 'shops_shopping', 'created_at': '2023-10-16T17:13:52.392+00:00', 'updated_at': '2023-10-27T09:34:39.717+00:00', 'parent_poi_category_id': 6110, 'custom_fields': [{'key': 'name_ar', 'value': 'المحلات التجارية'}], 'public': False}]",,,,29,
537367,2024-01-29T17:42:41.619+00:00,2024-04-18T06:59:05.853+00:00,Shops,"{'floor_id': 109, 'x': 702.5339657040455, 'y': 865.5866619945308, 'lat': 24.451429293958398, 'lng': 54.64202965426238, 'radius': 5, 'georeferences': {'lat': 24.451429293958398, 'lng': 54.64202965426238}, 'cartesians': {'x': 702.5339657040455, 'y': 865.5866619945308}}",29,Calvin Klein,,"[{'key': 'X_Data', 'value': '11356085'}, {'key': 'priority', 'value': '6'}, {'key': 'name_ar', 'value': 'كالفن كلاين'}, {'key': 'info_ar', 'value': ''}]",6122,"[{'id': 6122, 'name': 'Shops', 'icon_url': '/uploads/poicategory/default.png', 'selected_icon_url': '/uploads/poicategoryselected/default.png', 'name_es': 'Shops', 'name_en': 'Shops', 'code': 'shops_shopping', 'created_at': '2023-10-16T17:13:52.392+00:00', 'updated_at': '2023-10-27T09:34:39.717+00:00', 'parent_poi_category_id': 6110, 'custom_fields': [{'key': 'name_ar', 'value': 'المحلات التجارية'}], 'public': False}]",,,,29,
537381,2024-01-29T17:42:41.643+00:00,2024-04-18T06:59:48.501+00:00,Shops,"{'floor_id': 109, 'x': 688.3917691781456, 'y': 858.4033137436531, 'lat': 24.451362524651447, 'lng': 54.64189126051032, 'radius': 5, 'georeferences': {'lat': 24.451362524651447, 'lng': 54.64189126051032}, 'cartesians': {'x': 688.3917691781456, 'y': 858.4033137436531}}",29,Escentric Molecules,,"[{'key': 'X_Data', 'value': '11356099'}, {'key': 'priority', 'value': '6'}, {'key': 'name_ar', 'value': 'اسنترك موليكيولز'}, {'key': 'info_ar', 'value': ''}]",6122,"[{'id': 6122, 'name': 'Shops', 'icon_url': '/uploads/poicategory/default.png', 'selected_icon_url': '/uploads/poicategoryselected/default.png', 'name_es': 'Shops', 'name_en': 'Shops', 'code': 'shops_shopping', 'created_at': '2023-10-16T17:13:52.392+00:00', 'updated_at': '2023-10-27T09:34:39.717+00:00', 'parent_poi_category_id': 6110, 'custom_fields': [{'key': 'name_ar', 'value': 'المحلات التجارية'}], 'public': False}]",,,,29,
